Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,India,IND,916978209675.807,1024686726935.43,1031901615358.22,1070321337241.86,1185297671140.85,1241270296331.75,1360706267075.67,1557082229430.68,1602521651332.49,1727204283214.7,1634284260295.02,1930463468899.9,2056639148049.27,2189937048135.12,2400031587720.89
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Bangladesh,BGD,85436063406.0155,95530241860.9667,98299205785.8159,109270901486.57,125468200069.017,141358914056.472,177340893036.799,196542010320.222,217207965277.285,234894700483.893,250383687973.973,286292630441.326,317843355215.864,299958948132.06,315690120945.467
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Nepal,NPL,12571048438.3385,18268089188.7697,18009879859.5706,18679790183.6167,18784073147.7487,20356551364.7316,21686945322.1908,22741743147.7328,25544499241.3915,26179605394.342,28489794162.6324,31523897271.7911,35007033398.5618,35364235163.6803,37051405579.0463
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Sri Lanka,LKA,..,..,..,..,..,54410778816.938,54736251063.2803,55783752949.2982,56907048766.8091,55799694426.4462,53051130876.4437,54197973226.8483,51204425839.3327,59267204131.3167,67994062219.898
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Bhutan,BTN,719168669.984472,743462359.183164,645992287.811759,734857075.375383,938348163.808088,1115829744.7697,1122982608.92095,1232001884.04552,1261955343.21097,1313275972.35009,1334802408.49451,1443214889.98899,1674519939.3251,1788433835.66703,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Maldives,MDV,..,..,..,..,1358352718.4024,1688055769.46117,1928135744.44406,2236643370.11402,2493759754.58645,2654630087.47473,2205167733.22359,2444522828.71881,2884153581.43842,3387993229.77873,3656985621.60102
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,American Samoa,ASM,401000000,411000000,420000000,446000000,463000000,460000000,463000000,471000000,487000000,509000000,533000000,602000000,621000000,..,..
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Australia,AUS,639138055560.449,757435694686.684,834107750149.006,867601420289.29,811077541135.461,763170265181.612,692585647649.385,741878458372.079,794697392490.621,759166905662.887,699531624245.601,795156839959.727,831768845147.233,876316816756.182,903687877051.534
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Brunei Darussalam,BRN,2016707920.51978,2366239000.63041,2621329228.44473,2761642180.17433,2651680767.77371,2558336285.03954,2411198706.76955,2483314179.03368,2649961339.41326,2757562532.11544,2855170931.71501,3480874485.69623,3879335888.88986,4165446659.91601,4411828831.82498
Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Cambodia,KHM,11074899755.943,13092065706.9853,14109890857.1039,15513857929.2818,16786898226.0062,17948576865.3678,19599257060.727,21062185689.2521,23459024343.5293,24478343152.1963,22401742182.0112,23107806075.4289,24003768085.3782,25539852954.0739,27708720520.351
